sub_ux_id,user_id,ux_start_date,ux_end_date,sub_type,download_id,date,datetime,user_id,session_id,resource_id,career_id,country_id
21493373,12790490,2023-06-21,2023-07-20,2,1571133898,2023-07-21,2023-07-21 00:47:33,12790490,gfpntn63o7h12484suutjphj4l-0,5859483,735,12
21493580,16136429,2023-06-21,2023-07-20,2,1571121831,2023-07-21,2023-07-21 00:12:23,16136429,jmuqknm6nv0l1l7pgoqh12bhap-0,6675386,735,12
21493580,16136429,2023-06-21,2023-07-20,2,1571122376,2023-07-21,2023-07-21 00:14:01,16136429,jmuqknm6nv0l1l7pgoqh12bhap-0,6675093,735,12
21493580,16136429,2023-06-21,2023-07-20,2,1571122656,2023-07-21,2023-07-21 00:14:51,16136429,jmuqknm6nv0l1l7pgoqh12bhap-0,6677207,735,12
21444854,8496887,2023-06-21,2023-07-21,2,1571120232,2023-07-21,2023-07-21 00:07:20,8496887,5d6hlab6bnh14jqmn9ic0q1mrv-0,6769889,41,12
21444854,8496887,2023-06-21,2023-07-21,2,1571120547,2023-07-21,2023-07-21 00:08:21,8496887,5d6hlab6bnh14jqmn9ic0q1mrv-0,6813431,41,12
21444854,8496887,2023-06-21,2023-07-21,2,1571121659,2023-07-21,2023-07-21 00:11:47,8496887,5d6hlab6bnh14jqmn9ic0q1mrv-0,3209780,41,12
21444854,8496887,2023-06-21,2023-07-21,2,1571122504,2023-07-21,2023-07-21 00:14:27,8496887,5d6hlab6bnh14jqmn9ic0q1mrv-0,3212562,41,12
21445349,1650873,2023-06-21,2023-07-21,2,1571132696,2023-07-21,2023-07-21 00:43:35,1650873,anfdb7c57gpl4nd5iriaur7qpa-0,142154,40,12
21445349,1650873,2023-06-21,2023-07-21,2,1571133333,2023-07-21,2023-07-21 00:45:38,1650873,anfdb7c57gpl4nd5iriaur7qpa-0,827521,40,12
21459983,16513782,2023-06-22,2023-07-21,2,1571121628,2023-07-21,2023-07-21 00:11:39,16513782,5n4u46jl4hlmo3urk14lgaj12p-0,6493974,735,12
21459983,16513782,2023-06-22,2023-07-21,2,1571124537,2023-07-21,2023-07-21 00:20:23,16513782,5n4u46jl4hlmo3urk14lgaj12p-0,6717353,735,12
21459983,16513782,2023-06-22,2023-07-21,2,1571124788,2023-07-21,2023-07-21 00:21:06,16513782,5n4u46jl4hlmo3urk14lgaj12p-0,6717298,735,12
21460378,3777874,2023-06-22,2023-07-21,2,1571125988,2023-07-21,2023-07-21 00:24:20,3777874,6pgq64hebq3b96q7393qnrdo96-0,608438,40,12
21460422,13187933,2023-06-22,2023-07-21,2,1571123090,2023-07-21,2023-07-21 00:16:14,13187933,3e7brtjiqct7ki5sf8cb3oik6k-0,6566862,735,12
21460422,13187933,2023-06-22,2023-07-21,2,1571123482,2023-07-21,2023-07-21 00:17:24,13187933,3e7brtjiqct7ki5sf8cb3oik6k-0,6521241,735,12
21460532,2760724,2023-06-22,2023-07-21,2,1571126982,2023-07-21,2023-07-21 00:27:01,2760724,8sps0f98mpoeaghipcu4lfq7fq-0,6697215,38,12
21460532,2760724,2023-06-22,2023-07-21,2,1571127311,2023-07-21,2023-07-21 00:27:58,2760724,8sps0f98mpoeaghipcu4lfq7fq-0,651821,38,12
21460532,2760724,2023-06-22,2023-07-21,2,1571127520,2023-07-21,2023-07-21 00:28:39,2760724,8sps0f98mpoeaghipcu4lfq7fq-0,133,38,12
21460657,15487571,2023-06-22,2023-07-21,2,1571136601,2023-07-21,2023-07-21 00:56:05,15487571,5rgoclsofun81i67lsa2t61rpe-0,6779816,365,12
21460880,10747710,2023-06-22,2023-07-21,2,1571121038,2023-07-21,2023-07-21 00:09:48,10747710,itn5jubau2os1ehgdgivta1i31-0,117222,735,12
21460880,10747710,2023-06-22,2023-07-21,2,1571121820,2023-07-21,2023-07-21 00:12:20,10747710,itn5jubau2os1ehgdgivta1i31-0,5706067,735,12
21461461,2533419,2023-06-22,2023-07-21,2,1571134031,2023-07-21,2023-07-21 00:47:54,2533419,qjvv5vr21ocdrk1cph4eev8t10-0,2170271,40,12
21461480,9891892,2023-06-22,2023-07-21,2,1571119932,2023-07-21,2023-07-21 00:06:22,9891892,fp764msj6tat7meho3o2mcqk07-0,6858840,41,12
21461480,9891892,2023-06-22,2023-07-21,2,1571120160,2023-07-21,2023-07-21 00:07:08,9891892,fp764msj6tat7meho3o2mcqk07-0,4603620,41,12
21461480,9891892,2023-06-22,2023-07-21,2,1571127487,2023-07-21,2023-07-21 00:28:33,9891892,fp764msj6tat7meho3o2mcqk07-0,6725485,41,12
21461518,4774650,2023-06-22,2023-07-21,2,1571119818,2023-07-21,2023-07-21 00:06:01,4774650,qtkv91ene6vv9eaqer4nhcpiv9-0,1710646,40,12
21461518,4774650,2023-06-22,2023-07-21,2,1571129612,2023-07-21,2023-07-21 00:34:44,4774650,qtkv91ene6vv9eaqer4nhcpiv9-0,4758913,40,12
21461518,4774650,2023-06-22,2023-07-21,2,1571130477,2023-07-21,2023-07-21 00:37:03,4774650,qtkv91ene6vv9eaqer4nhcpiv9-0,6329045,40,12
21461538,10276215,2023-06-22,2023-07-21,2,1571119133,2023-07-21,2023-07-21 00:03:49,10276215,nmcggnbqpsvpue9pt3qlg4ui8p-0,1402103,40,12
21461654,2999956,2023-06-22,2023-07-21,2,1571122685,2023-07-21,2023-07-21 00:14:57,2999956,knkthsmt25bk3925ck2qmjci14-0,2080147,735,12
21461654,2999956,2023-06-22,2023-07-21,2,1571122949,2023-07-21,2023-07-21 00:15:43,2999956,knkthsmt25bk3925ck2qmjci14-0,412806,735,12
21461712,5004765,2023-06-22,2023-07-21,2,1571124169,2023-07-21,2023-07-21 00:19:20,5004765,sgs27lkvuqnjp32mes5so50id2-0,78047,735,12
21461749,9121523,2023-06-22,2023-07-21,2,1571123430,2023-07-21,2023-07-21 00:17:14,9121523,nn0bq94k1k0cpkhlli08nl9tv2-0,6679719,735,12
21461749,9121523,2023-06-22,2023-07-21,2,1571123870,2023-07-21,2023-07-21 00:18:30,9121523,nn0bq94k1k0cpkhlli08nl9tv2-0,6546472,735,12
21461749,9121523,2023-06-22,2023-07-21,2,1571124524,2023-07-21,2023-07-21 00:20:20,9121523,nn0bq94k1k0cpkhlli08nl9tv2-0,603262,735,12
21461749,9121523,2023-06-22,2023-07-21,2,1571128184,2023-07-21,2023-07-21 00:30:32,9121523,87o7u6g4nvjli047du60uj523e-0,511722,735,12
21461749,9121523,2023-06-22,2023-07-21,2,1571128421,2023-07-21,2023-07-21 00:31:10,9121523,87o7u6g4nvjli047du60uj523e-0,505256,735,12
21461950,15490294,2023-06-22,2023-07-21,2,1571119390,2023-07-21,2023-07-21 00:04:39,15490294,2nmp8fbkf37d4riq1prnfqp8kq-0,4079029,38,12
21461952,3053030,2023-06-22,2023-07-21,2,1571124452,2023-07-21,2023-07-21 00:20:08,3053030,k7ib1a43caaou5ji7otsff85qa-0,500633,125,12
21461952,3053030,2023-06-22,2023-07-21,2,1571136587,2023-07-21,2023-07-21 00:56:01,3053030,k7ib1a43caaou5ji7otsff85qa-0,3099512,125,12
21461999,11192225,2023-06-22,2023-07-21,2,1571123902,2023-07-21,2023-07-21 00:18:35,11192225,ppl78861r747ih10ioa7rrol1q-0,3604347,735,12
21462067,9891408,2023-06-22,2023-07-21,2,1571125629,2023-07-21,2023-07-21 00:23:23,9891408,n3g6t3tetesv1j389vumh8pbeq-0,4649403,26,12
21462084,17807506,2023-06-22,2023-07-21,2,1571128892,2023-07-21,2023-07-21 00:32:33,17807506,b6qg2u3gerqvg9nh70ajndum56-0,6857538,38,12
21462190,10622401,2023-06-22,2023-07-21,2,1571132891,2023-07-21,2023-07-21 00:44:12,10622401,opkou9mncfp45bnc71lgi4n33k-0,6586236,735,12
21462190,10622401,2023-06-22,2023-07-21,2,1571133635,2023-07-21,2023-07-21 00:46:40,10622401,opkou9mncfp45bnc71lgi4n33k-0,1676982,735,12
21462190,10622401,2023-06-22,2023-07-21,2,1571134560,2023-07-21,2023-07-21 00:49:31,10622401,opkou9mncfp45bnc71lgi4n33k-0,86403,735,12
21462191,2692690,2023-06-22,2023-07-21,2,1571121157,2023-07-21,2023-07-21 00:10:15,2692690,546qsmsf3rllbvou8g66bma4b3-0,6808503,41,12
21462191,2692690,2023-06-22,2023-07-21,2,1571121627,2023-07-21,2023-07-21 00:11:39,2692690,546qsmsf3rllbvou8g66bma4b3-0,1446579,41,12
21462191,2692690,2023-06-22,2023-07-21,2,1571121905,2023-07-21,2023-07-21 00:12:38,2692690,546qsmsf3rllbvou8g66bma4b3-0,1314925,41,12
21462191,2692690,2023-06-22,2023-07-21,2,1571122736,2023-07-21,2023-07-21 00:15:06,2692690,546qsmsf3rllbvou8g66bma4b3-0,1275274,41,12
21462191,2692690,2023-06-22,2023-07-21,2,1571123109,2023-07-21,2023-07-21 00:16:19,2692690,546qsmsf3rllbvou8g66bma4b3-0,6448489,41,12
21462191,2692690,2023-06-22,2023-07-21,2,1571123495,2023-07-21,2023-07-21 00:17:25,2692690,546qsmsf3rllbvou8g66bma4b3-0,4265224,41,12
21462191,2692690,2023-06-22,2023-07-21,2,1571123799,2023-07-21,2023-07-21 00:18:20,2692690,546qsmsf3rllbvou8g66bma4b3-0,6750869,41,12
21462191,2692690,2023-06-22,2023-07-21,2,1571123993,2023-07-21,2023-07-21 00:18:51,2692690,546qsmsf3rllbvou8g66bma4b3-0,1417890,41,12
21462191,2692690,2023-06-22,2023-07-21,2,1571124509,2023-07-21,2023-07-21 00:20:18,2692690,546qsmsf3rllbvou8g66bma4b3-0,1315032,41,12
21462262,13739919,2023-06-22,2023-07-21,2,1571136234,2023-07-21,2023-07-21 00:54:48,13739919,hgr68rn18kfejl5evjutgclbrv-0,1972140,735,12
21462262,13739919,2023-06-22,2023-07-21,2,1571136462,2023-07-21,2023-07-21 00:55:34,13739919,hgr68rn18kfejl5evjutgclbrv-0,3532927,735,12
21462262,13739919,2023-06-22,2023-07-21,2,1571137418,2023-07-21,2023-07-21 00:58:39,13739919,hgr68rn18kfejl5evjutgclbrv-0,5762759,735,12
